  Class ,  z ,  b ,  c ,  H ,  Mem ,  Runs ,  Th ,  FP% ,  MinB ,  MaxB ,  AvgB ,  MinL ,  MaxL ,  AvgL ,  MinTime ,  MaxTime ,  AvgTime ,  MinHops ,  MaxHops ,  AvgHops ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  8  ,  8  ,  8.0  ,  2.8461538461538463  ,  4.0  ,  3.6553738461509586  ,  37  ,  52  ,  47.51986  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  9  ,  9  ,  9.0  ,  3.4285714285714284  ,  4.142857142857143  ,  3.785864285714653  ,  48  ,  58  ,  53.0021  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  10  ,  10  ,  10.0  ,  3.4  ,  4.266666666666667  ,  3.90015533333427  ,  51  ,  64  ,  58.50233  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  11  ,  11  ,  11.0  ,  3.375  ,  4.375  ,  4.00119125  ,  54  ,  70  ,  64.01906  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  12  ,  12  ,  12.0  ,  3.3529411764705883  ,  4.470588235294118  ,  4.0886282352944745  ,  57  ,  76  ,  69.50668  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  13  ,  13  ,  13.0  ,  3.3333333333333335  ,  4.555555555555555  ,  4.168159444442953  ,  60  ,  82  ,  75.02687  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  14  ,  14  ,  14.0  ,  3.3157894736842106  ,  5.368421052631579  ,  4.39744947368653  ,  63  ,  102  ,  83.55154  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  15  ,  15  ,  15.0  ,  3.3  ,  5.45  ,  4.754008500000023  ,  66  ,  109  ,  95.08017  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  16  ,  16  ,  16.0  ,  3.2857142857142856  ,  5.523809523809524  ,  5.073516190477444  ,  69  ,  116  ,  106.54384  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  17  ,  17  ,  17.0  ,  4.636363636363637  ,  5.545454545454546  ,  5.1370781818179365  ,  102  ,  122  ,  113.01572  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  18  ,  18  ,  18.0  ,  4.478260869565218  ,  5.565217391304348  ,  5.15280347826175  ,  103  ,  128  ,  118.51448  ,
