Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  23  ,  23  ,  23.0  ,  1.46666666667  ,  2.2  ,  1.834319  ,  44  ,  66  ,  55.02957  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  24  ,  24  ,  24.0  ,  1.45161290323  ,  2.1935483871  ,  1.82298096774  ,  45  ,  68  ,  56.51241  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  25  ,  25  ,  25.0  ,  1.4375  ,  2.1875  ,  1.8136953125  ,  46  ,  70  ,  58.03825  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  26  ,  26  ,  26.0  ,  1.42424242424  ,  2.18181818182  ,  1.8030769697  ,  47  ,  72  ,  59.50154  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  27  ,  27  ,  27.0  ,  1.41176470588  ,  2.17647058824  ,  1.79422470588  ,  48  ,  74  ,  61.00364  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  28  ,  28  ,  28.0  ,  1.4  ,  2.17142857143  ,  1.78615114286  ,  49  ,  76  ,  62.51529  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  29  ,  29  ,  29.0  ,  1.38888888889  ,  2.16666666667  ,  1.77836722222  ,  50  ,  78  ,  64.02122  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  30  ,  30  ,  30.0  ,  1.37837837838  ,  2.16216216216  ,  1.77026594595  ,  51  ,  80  ,  65.49984  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  31  ,  31  ,  31.0  ,  1.36842105263  ,  2.15789473684  ,  1.76345052632  ,  52  ,  82  ,  67.01112  ,



